ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-07-25,211.41441425678047,206.9649443223454,223.68042579996154,211.41441425678047,211.41441425678047,4.044246844747712,4.044246844747712,4.044246844747712,-1.3636887768305086,-1.3636887768305086,-1.3636887768305086,5.40793562157822,5.40793562157822,5.40793562157822,0.0,0.0,0.0,215.45866110152818
2024-07-26,211.58820182997883,206.39235534380444,223.72249064214688,211.58820182997883,211.58820182997883,4.073432825093503,4.073432825093503,4.073432825093503,-1.2444231541399453,-1.2444231541399453,-1.2444231541399453,5.317855979233449,5.317855979233449,5.317855979233449,0.0,0.0,0.0,215.66163465507233
2024-07-29,212.10956454957378,207.74697703029418,224.1270602361417,212.10956454957378,212.10956454957378,3.9371321943648363,3.9371321943648363,3.9371321943648363,-1.1144795683826625,-1.1144795683826625,-1.1144795683826625,5.051611762747499,5.051611762747499,5.051611762747499,0.0,0.0,0.0,216.0466967439386
2024-07-30,212.28335212277207,208.1614689403336,224.17039543604193,212.28335212277207,212.28335212277207,3.8161166069402093,3.8161166069402093,3.8161166069402093,-1.1667503843731042,-1.1667503843731042,-1.1667503843731042,4.982866991313314,4.982866991313314,4.982866991313314,0.0,0.0,0.0,216.09946872971227
2024-07-31,212.45713969597045,207.6728109887304,224.88397520632483,212.45713969597045,212.45713969597045,3.6673960283001237,3.6673960283001237,3.6673960283001237,-1.26555389516918,-1.26555389516918,-1.26555389516918,4.9329499234693035,4.9329499234693035,4.9329499234693035,0.0,0.0,0.0,216.12453572427057
2024-08-01,212.6309272691688,207.41096502713108,225.03062244330692,212.6309272691688,212.6309272691688,3.542905679936901,3.542905679936901,3.542905679936901,-1.3636887768332906,-1.3636887768332906,-1.3636887768332906,4.906594456770192,4.906594456770192,4.906594456770192,0.0,0.0,0.0,216.1738329491057
2024-08-02,212.80471484236716,207.9887459645984,225.15815752867817,212.80471484236716,212.80471484236716,3.66357662547404,3.66357662547404,3.66357662547404,-1.244423154133961,-1.244423154133961,-1.244423154133961,4.9079997796080015,4.9079997796080015,4.9079997796080015,0.0,0.0,0.0,216.4682914678412
2024-08-05,213.3260775619621,209.45815752284378,225.81679567941197,213.3260775619621,213.3260775619621,3.9962104719511116,3.9962104719511116,3.9962104719511116,-1.1144795683826048,-1.1144795683826048,-1.1144795683826048,5.110690040333716,5.110690040333716,5.110690040333716,0.0,0.0,0.0,217.32228803391322
2024-08-06,213.49986513516043,208.98595424680474,225.11816868038613,213.49986513516043,213.49986513516043,4.084375919446998,4.084375919446998,4.084375919446998,-1.1667503843736458,-1.1667503843736458,-1.1667503843736458,5.2511263038206435,5.2511263038206435,5.2511263038206435,0.0,0.0,0.0,217.58424105460745
2024-08-07,213.6736527083588,208.99092656273257,225.76633111106491,213.6736527083588,213.6736527083588,4.163636071733469,4.163636071733469,4.163636071733469,-1.2655538951692917,-1.2655538951692917,-1.2655538951692917,5.429189966902761,5.429189966902761,5.429189966902761,0.0,0.0,0.0,217.83728878009225
2024-08-08,213.84744028155714,209.47756795320873,226.49266959480255,213.84744028155714,213.84744028155714,4.280534232015439,4.280534232015439,4.280534232015439,-1.3636887768328387,-1.3636887768328387,-1.3636887768328387,5.644223008848278,5.644223008848278,5.644223008848278,0.0,0.0,0.0,218.12797451357258
2024-08-09,214.02122785475544,210.54751698007914,226.72292974457443,214.02122785475544,214.02122785475544,4.650216852925615,4.650216852925615,4.650216852925615,-1.2444231541338708,-1.2444231541338708,-1.2444231541338708,5.894640007059486,5.894640007059486,5.894640007059486,0.0,0.0,0.0,218.67144470768105
2024-08-12,214.54259057435047,211.96295219303047,228.35201988439408,214.54259057435047,214.54259057435047,5.7144644146786,5.7144644146786,5.7144644146786,-1.1144795683791187,-1.1144795683791187,-1.1144795683791187,6.8289439830577185,6.8289439830577185,6.8289439830577185,0.0,0.0,0.0,220.25705498902906
